Date, Open, High, Low, Close
02/02/00, 6302.83, 6345.20, 6241.60, 6302.83
02/01/00, 6290.93, 6367.10, 6231.90, 6290.93
01/31/00, 6268.54, 6375.60, 6246.80, 6268.54
01/28/00, 6375.61, 6475.10, 6354.80, 6375.61
01/27/00, 6440.97, 6451.60, 6375.60, 6440.97
01/26/00, 6375.60, 6380.00, 6270.40, 6375.60
01/25/00, 6274.10, 6379.80, 6262.90, 6274.10
01/24/00, 6379.83, 6480.40, 6346.30, 6379.83
01/21/00, 6346.31, 6374.70, 6287.10, 6346.31
01/20/00, 6348.73, 6492.70, 6328.30, 6348.73
01/19/00, 6445.45, 6505.90, 6434.40, 6445.45
01/18/00, 6504.57, 6695.90, 6491.50, 6504.57
01/17/00, 6669.46, 6669.46, 6669.46, 6669.46
01/14/00, 6658.18, 6666.80, 6531.50, 6658.18
01/13/00, 6531.46, 6596.50, 6509.40, 6531.46
01/12/00, 6532.84, 6532.80, 6470.30, 6532.84
01/11/00, 6518.94, 6638.10, 6510.80, 6518.94
01/10/00, 6607.71, 6634.20, 6504.80, 6607.71
01/07/00, 6504.75, 6532.40, 6438.80, 6504.75
01/06/00, 6447.24, 6547.30, 6424.40, 6447.24
01/05/00, 6535.90, 6665.90, 6500.40, 6535.90
01/04/00, 6665.86, 6930.20, 6662.90, 6665.86
12/30/99, 6930.20, 6930.20, 6930.20, 6930.20
12/29/99, 6835.91, 6835.91, 6835.91, 6835.91
12/24/99, 6806.51, 6806.51, 6806.51, 6806.51
12/23/99, 6776.81, 6776.81, 6776.81, 6776.81
12/22/99, 6728.65, 6728.65, 6728.65, 6728.65
12/21/99, 6707.50, 6707.50, 6707.50, 6707.50
12/20/99, 6731.19, 6731.19, 6731.19, 6731.19
12/17/99, 6724.58, 6724.58, 6724.58, 6724.58
12/16/99, 6671.98, 6671.98, 6671.98, 6671.98
12/15/99, 6633.82, 6633.82, 6633.82, 6633.82
12/14/99, 6702.08, 6702.08, 6702.08, 6702.08
12/13/99, 6710.71, 6710.71, 6710.71, 6710.71
12/10/99, 6739.52, 6739.52, 6739.52, 6739.52
12/09/99, 6680.84, 6680.84, 6680.84, 6680.84
12/08/99, 6619.38, 6619.38, 6619.38, 6619.38
12/07/99, 6660.92, 6660.92, 6660.92, 6660.92
12/06/99, 6694.01, 6694.01, 6694.01, 6694.01
12/03/99, 6742.17, 6742.17, 6742.17, 6742.17
12/02/99, 6653.67, 6653.70, 6653.70, 6653.67
12/01/99, 6645.97, 6645.97, 6645.97, 6645.97
11/30/99, 6597.17, 6597.17, 6597.17, 6597.17
11/29/99, 6692.31, 6692.31, 6692.31, 6692.31
11/26/99, 6684.79, 6684.79, 6684.79, 6684.79
11/25/99, 6682.76, 6682.76, 6682.76, 6682.76
11/24/99, 6561.76, 6561.76, 6561.76, 6561.76
11/23/99, 6534.20, 6534.20, 6534.20, 6534.20
11/22/99, 6441.99, 6441.99, 6441.99, 6441.99
11/19/99, 6482.25, 6482.25, 6482.25, 6482.25
11/18/99, 6550.75, 6550.75, 6550.75, 6550.75
11/17/99, 6555.69, 6555.69, 6555.69, 6555.69
11/16/99, 6582.99, 6582.99, 6582.99, 6582.99
11/15/99, 6533.64, 6533.64, 6533.64, 6533.64
11/12/99, 6511.58, 6511.58, 6511.58, 6511.58
11/11/99, 6551.44, 6551.44, 6551.44, 6551.44
11/10/99, 6446.96, 6446.96, 6446.96, 6446.96
11/09/99, 6435.45, 6435.45, 6435.45, 6435.45
11/08/99, 6374.34, 6374.34, 6374.34, 6374.34
11/05/99, 6356.61, 6356.61, 6356.61, 6356.61
11/04/99, 6331.33, 6331.30, 6331.30, 6331.33
11/03/99, 6280.84, 6280.84, 6280.84, 6280.84
11/02/99, 6252.00, 6252.00, 6252.00, 6252.00
11/01/99, 6283.97, 6283.97, 6283.97, 6283.97
10/29/99, 6255.72, 6255.72, 6255.72, 6255.72
10/28/99, 6149.10, 6149.10, 6149.10, 6149.10
10/27/99, 6045.70, 6045.70, 6045.70, 6045.70
10/26/99, 6092.40, 6092.40, 6092.40, 6092.40
10/25/99, 6009.36, 6009.36, 6009.36, 6009.36
10/22/99, 6058.91, 6058.91, 6058.91, 6058.91
10/21/99, 5939.34, 5939.30, 5939.30, 5939.34
10/20/99, 6006.68, 6006.68, 6006.68, 6006.68
10/19/99, 5993.69, 5993.69, 5993.69, 5993.69
10/18/99, 5869.18, 5869.18, 5869.18, 5869.18
10/15/99, 5907.33, 5907.33, 5907.33, 5907.33
10/14/99, 6039.40, 6039.40, 6039.40, 6039.40
10/13/99, 6113.36, 6113.36, 6113.36, 6113.36
10/12/99, 6174.85, 6174.85, 6174.85, 6174.85
10/11/99, 6234.78, 6234.78, 6234.78, 6234.78
10/08/99, 6199.39, 6199.39, 6199.39, 6199.39
10/07/99, 6200.45, 6200.45, 6200.45, 6200.45
10/06/99, 6097.53, 6097.53, 6097.53, 6097.53
10/05/99, 6084.51, 6084.51, 6084.51, 6084.51
10/04/99, 6052.88, 6052.88, 6052.88, 6052.88
10/01/99, 5970.73, 5970.73, 5970.73, 5970.73
09/30/99, 6029.84, 6029.84, 6029.84, 6029.84
09/29/99, 6020.64, 6020.64, 6020.64, 6020.64
09/28/99, 6007.18, 6007.18, 6007.18, 6007.18
09/27/99, 6078.58, 6078.58, 6078.58, 6078.58
09/24/99, 5937.64, 5937.64, 5937.64, 5937.64
09/23/99, 5969.71, 5969.71, 5969.71, 5969.71
09/22/99, 5913.93, 5913.93, 5913.93, 5913.93
09/21/99, 5957.34, 5957.34, 5957.34, 5957.34
09/20/99, 6056.53, 6056.53, 6056.53, 6056.53
09/17/99, 6039.80, 6039.80, 6039.80, 6039.80
09/16/99, 6014.61, 6014.61, 6014.61, 6014.61
09/15/99, 6067.69, 6067.69, 6067.69, 6067.69
09/14/99, 6115.96, 6115.96, 6115.96, 6115.96
09/13/99, 6168.97, 6168.97, 6168.97, 6168.97
09/10/99, 6191.01, 6191.01, 6191.01, 6191.01
09/09/99, 6260.58, 6260.58, 6260.58, 6260.58
09/08/99, 6253.57, 6253.60, 6253.60, 6253.57
09/07/99, 6309.51, 6309.51, 6309.51, 6309.51
09/06/99, 6375.70, 6375.70, 6375.70, 6375.70
09/03/99, 6332.15, 6332.15, 6332.15, 6332.15
09/02/99, 6195.60, 6195.60, 6195.60, 6195.60
09/01/99, 6276.18, 6276.18, 6276.18, 6276.18
08/31/99, 6246.44, 6246.44, 6246.44, 6246.44
08/27/99, 6375.16, 6375.16, 6375.16, 6375.16
08/26/99, 6383.93, 6383.93, 6383.93, 6383.93
08/25/99, 6369.49, 6369.49, 6369.49, 6369.49
08/24/99, 6315.06, 6315.06, 6315.06, 6315.06
08/23/99, 6322.11, 6322.11, 6322.11, 6322.11
08/20/99, 6180.84, 6180.84, 6180.84, 6180.84
08/19/99, 6117.98, 6117.98, 6117.98, 6117.98
08/18/99, 6201.78, 6201.78, 6201.78, 6201.78
08/17/99, 6166.45, 6166.45, 6166.45, 6166.45
08/16/99, 6235.41, 6235.41, 6235.41, 6235.41
08/13/99, 6245.13, 6245.13, 6245.13, 6245.13
08/12/99, 6153.34, 6153.34, 6153.34, 6153.34
08/11/99, 6014.44, 6014.44, 6014.44, 6014.44
08/10/99, 5978.35, 5978.40, 5978.40, 5978.35
08/09/99, 6126.45, 6126.45, 6126.45, 6126.45
08/06/99, 6121.00, 6121.00, 6121.00, 6121.00
08/05/99, 6101.61, 6101.61, 6101.61, 6101.61
08/04/99, 6235.43, 6235.43, 6235.43, 6235.43
08/03/99, 6250.65, 6250.65, 6250.65, 6250.65
08/02/99, 6288.29, 6288.29, 6288.29, 6288.29
07/30/99, 6231.93, 6231.93, 6231.93, 6231.93
07/29/99, 6117.53, 6117.53, 6117.53, 6117.53
