observation_date,DGS10
1993-12-13,5.78
1993-12-14,5.82
1993-12-15,5.83
1993-12-16,5.84
1993-12-17,5.81
1993-12-20,5.83
1993-12-21,5.85
1993-12-22,5.74
1993-12-23,5.72
1993-12-24,
1993-12-27,5.72
1993-12-28,5.72
1993-12-29,5.74
1993-12-30,5.82
1993-12-31,5.83
1994-01-03,5.92
1994-01-04,5.88
1994-01-05,5.90
1994-01-06,5.84
1994-01-07,5.70
1994-01-10,5.67
1994-01-11,5.67
1994-01-12,5.60
1994-01-13,5.71
1994-01-14,5.78
1994-01-17,
1994-01-18,5.74
1994-01-19,5.76
1994-01-20,5.71
1994-01-21,5.73
1994-01-24,5.74
1994-01-25,5.78
1994-01-26,5.77
1994-01-27,5.73
1994-01-28,5.68
1994-01-31,5.70
1994-02-01,5.77
1994-02-02,5.77
1994-02-03,5.81
1994-02-04,5.94
1994-02-07,5.96
1994-02-08,6.01
1994-02-09,5.92
1994-02-10,5.91
1994-02-11,5.88
1994-02-14,5.90
1994-02-15,5.88
1994-02-16,5.89
1994-02-17,6.00
1994-02-18,6.09
1994-02-21,
1994-02-22,6.05
1994-02-23,6.13
1994-02-24,6.22
1994-02-25,6.21
1994-02-28,6.15
1994-03-01,6.28
1994-03-02,6.30
1994-03-03,6.35
1994-03-04,6.38
1994-03-07,6.32
1994-03-08,6.38
1994-03-09,6.38
1994-03-10,6.48
1994-03-11,6.46
1994-03-14,6.50
1994-03-15,6.47
1994-03-16,6.40
1994-03-17,6.40
1994-03-18,6.49
1994-03-21,6.55
1994-03-22,6.44
1994-03-23,6.44
1994-03-24,6.58
1994-03-25,6.61
1994-03-28,6.63
1994-03-29,6.71
1994-03-30,6.78
1994-03-31,6.77
1994-04-01,
1994-04-04,7.16
1994-04-05,6.97
1994-04-06,6.93
1994-04-07,6.86
1994-04-08,6.94
1994-04-11,6.92
1994-04-12,6.87
1994-04-13,6.93
1994-04-14,6.97
1994-04-15,6.97
1994-04-18,7.14
1994-04-19,7.10
1994-04-20,7.05
1994-04-21,6.91
1994-04-22,6.93
1994-04-25,6.86
1994-04-26,6.86
1994-04-27,
1994-04-28,7.04
1994-04-29,7.06
1994-05-02,7.09
1994-05-03,7.13
1994-05-04,7.14
1994-05-05,7.11
1994-05-06,7.35
1994-05-09,7.49
1994-05-10,7.33
1994-05-11,7.40
1994-05-12,7.36
1994-05-13,7.29
1994-05-16,7.24
1994-05-17,7.03
1994-05-18,7.03
1994-05-19,6.96
1994-05-20,7.02
1994-05-23,7.19
1994-05-24,7.17
1994-05-25,7.14
1994-05-26,7.09
1994-05-27,7.12
1994-05-30,
1994-05-31,7.17
1994-06-01,7.12
1994-06-02,7.07
1994-06-03,6.98
1994-06-06,6.91
1994-06-07,6.95
1994-06-08,6.96
1994-06-09,6.98
1994-06-10,7.03
1994-06-13,7.07
1994-06-14,7.00
1994-06-15,7.10
1994-06-16,7.07
1994-06-17,7.14
1994-06-20,7.16
1994-06-21,7.22
1994-06-22,7.13
1994-06-23,7.10
1994-06-24,7.22
1994-06-27,7.18
1994-06-28,7.26
1994-06-29,7.24
1994-06-30,7.34
1994-07-01,7.34
1994-07-04,
1994-07-05,7.31
1994-07-06,7.32
1994-07-07,7.30
1994-07-08,7.42
1994-07-11,7.47
1994-07-12,7.43
1994-07-13,7.41
1994-07-14,7.25
1994-07-15,7.25
1994-07-18,7.20
1994-07-19,7.15
1994-07-20,7.25
1994-07-21,7.27
1994-07-22,7.29
1994-07-25,7.27
1994-07-26,7.28
1994-07-27,7.34
1994-07-28,7.29
1994-07-29,7.12
1994-08-01,7.13
1994-08-02,7.11
1994-08-03,7.09
1994-08-04,7.12
1994-08-05,7.28
1994-08-08,7.28
1994-08-09,7.33
1994-08-10,7.30
1994-08-11,7.36
1994-08-12,7.27
1994-08-15,7.30
1994-08-16,7.19
1994-08-17,7.15
1994-08-18,7.28
1994-08-19,7.27
1994-08-22,7.31
1994-08-23,7.28
1994-08-24,7.22
1994-08-25,7.29
1994-08-26,7.24
1994-08-29,7.24
1994-08-30,7.20
1994-08-31,7.19
1994-09-01,7.19
1994-09-02,7.21
1994-09-05,
1994-09-06,7.27
1994-09-07,7.29
1994-09-08,7.30
1994-09-09,7.44
1994-09-12,7.46
1994-09-13,7.44
1994-09-14,7.41
1994-09-15,7.35
1994-09-16,7.52
1994-09-19,7.49
1994-09-20,7.53
1994-09-21,7.56
1994-09-22,7.56
1994-09-23,7.57
1994-09-26,7.57
1994-09-27,7.61
1994-09-28,7.57
1994-09-29,7.64
1994-09-30,7.62
1994-10-03,7.66
1994-10-04,7.70
1994-10-05,7.77
1994-10-06,7.78
1994-10-07,7.70
1994-10-10,
1994-10-11,7.65
1994-10-12,7.69
1994-10-13,7.64
1994-10-14,7.61
1994-10-17,7.62
1994-10-18,7.64
1994-10-19,7.68
1994-10-20,7.80
1994-10-21,7.81
1994-10-24,7.86
1994-10-25,7.88
1994-10-26,7.88
1994-10-27,7.88
1994-10-28,7.82
1994-10-31,7.81
1994-11-01,7.91
1994-11-02,7.96
1994-11-03,7.96
1994-11-04,8.04
1994-11-07,8.05
1994-11-08,8.01
1994-11-09,7.94
1994-11-10,7.98
1994-11-11,
1994-11-14,7.94
1994-11-15,7.92
1994-11-16,7.97
1994-11-17,8.03
1994-11-18,8.01
1994-11-21,8.03
1994-11-22,8.00
1994-11-23,7.81
1994-11-24,
1994-11-25,7.80
1994-11-28,7.88
1994-11-29,7.95
1994-11-30,7.91
1994-12-01,7.92
1994-12-02,7.81
1994-12-05,7.83
1994-12-06,7.73
1994-12-07,7.81
1994-12-08,7.79
1994-12-09,7.79
1994-12-12,7.85
1994-12-13,7.83
1994-12-14,7.80
1994-12-15,7.79
1994-12-16,7.81
1994-12-19,7.81
